,COD_PRO,COD_SEL,Piles,Columns,Tensioners,Wire_rolls,Isolation,Carbonate,APP_Area,RL_Area,Total_Area,Requires_Carbonate_RL,Requires_Isolation_RL,Group_RL,CultureI_RL,CultureII_RL,Seedlings_RL,Method_RL,Year_RL,Requires_Carbonate_APP,Requires_Isolation_APP,Group_APP,CultureI_APP,CultureII_APP,Seedlings_APP,Method_APP,Year_APP,Year_Selection,Year_Implementation,Concluded_Isolation,Project_Status,Requires_Isolation,Requires_Carbonate
963,PRO0933,SEL0964,0,0,0,0,,1.0,0.0,1.35,2.87,0.0,0.0,3,E,B,1000,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
964,PRO0934,SEL0965,0,0,0,0,,0.3,0.0,0.46,2.0,0.0,0.0,1,B,,,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
965,PRO0935,SEL0966,200,12,60,5,,442.0,1.94,0.8,2.74,0.0,0.0,1,B,,600,RL SAF,2019.0,0.0,0.0,1,A,,300.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
966,PRO0936,SEL0967,0,0,30,2,,380.0,0.0,0.0,0.46,0.0,0.0,3,CAFE,,,RL SAF,2019.0,0.0,0.0,1,A,,200.0,APP SAF,2019.0,2019.0,2019.0,0,ATIVO,1.0,0.0
967,PRO0937,SEL0968,0,0,0,0,,830.0,0.0,1.28,2.74,0.0,0.0,1,B,,1500,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
968,PRO0938,SEL0969,135,15,10,4,,275.0,8.36,0.0,8.36,0.0,0.0,,,,,,2019.0,0.0,0.0,1,C,,500.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
969,PRO0939,SEL0970,167,12,20,5,,1395.0,4.9,0.0,4.9,0.0,0.0,2,A,B,2222,RL SAF,2019.0,0.0,0.0,1,A,,300.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
970,PRO0940,SEL0971,0,0,0,0,,1032.0,0.0,1.96,8.36,0.0,0.0,1,B,,1866,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
971,PRO0941,SEL0972,240,8,20,6,,1032.0,9.04,1.6,10.64,0.0,0.0,1,B,,1866,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
972,PRO0942,SEL0973,0,0,0,0,,1033.0,0.0,2.1,2.1,0.0,0.0,1,B,,1868,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
