,COD_PRO,COD_EXT_x,COD_MUN,COD_SEDE,Farm,X_UTM,Y_UTM,County,Num_Visits,CAD_PLA,COD_EXT_y,Affiliation,NOME DA ASSOCIÇÃO,Main_Activity,Secondary_Activity
1061,PRO1062,10.0,8,MDO01190306,,612512.0,8986572.0,MACHADINHO D'OESTE,0,PLA 1062,10.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,
1062,PRO1063,17.0,8,MDO01190627,CANGAS E CANDEIAS,593389.0,8940142.0,MACHADINHO D'OESTE,0,PLA 1063,17.0,ASSOCIAÇÃO,,BOVINOCULTURA DE CORTE,
1063,PRO1064,17.0,8,MDO01190701,DEUS PROVERÁ,585538.0,8949228.0,MACHADINHO D'OESTE,0,PLA 1064,17.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,LAVOURA
1064,PRO1065,17.0,8,MDO02190701,CHACARA TRÊS IRMÂO,586200.0,8950084.0,MACHADINHO D'OESTE,0,PLA 1065,17.0,ASSOCIAÇÃO,,LAVOURA,
1065,PRO1066,17.0,8,MDO02190627,S/N,593874.0,8940556.0,MACHADINHO D'OESTE,0,PLA 1066,17.0,ASSOCIAÇÃO,,BOVINOCULTURA MISTA,
1066,PRO1067,17.0,8,MDO01190710,SITIO DOIS IRMÃOS,586156.0,8955061.0,MACHADINHO D'OESTE,0,PLA 1067,17.0,ASSOCIAÇÃO,,LAVOURA,BOVINOCULTURA DE LEITE
1067,PRO1068,17.0,8,MDO02190710,RIO MANSO,580092.0,8950189.0,MACHADINHO D'OESTE,0,PLA 1068,17.0,ASSOCIAÇÃO,,BOVINOCULTURA MISTA,
1068,PRO1069,9.0,10,PRM01190711,CHÁCARA TERRA BOA,622017.0,8775892.0,PRESIDENTE MÉDICI,0,PLA 1069,9.0,STTR,,BOVINOCULTURA DE CORTE,
1069,PRO1070,16.0,6,JAR01190711,SITIO SÃO PAULO,580786.0,8852144.0,JARU,0,PLA 1070,16.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,
1070,PRO1071,17.0,8,MDO01190713,BOA VISTA,599088.0,8954264.0,MACHADINHO D'OESTE,0,PLA 1071,17.0,STTR,,BOVINOCULTURA DE LEITE,LAVOURA
1071,PRO1072,17.0,8,MDO02190713,S/N,603975.0,8965808.0,MACHADINHO D'OESTE,0,PLA 1072,17.0,STTR,,FRUTICULTURA*,
1072,PRO1073,4.0,14,RLM01190715,CLUBE DO CÉU,631144.0,8705568.0,ROLIM DE MOURA,0,PLA 1073,4.0,STTR,,PISCICULTURA,
1073,PRO1074,4.0,14,RLM01190718,CHÁCARA ISABELA,644038.0,8709849.0,ROLIM DE MOURA,0,PLA 1074,4.0,STTR,,BOVINOCULTURA DE LEITE,
1074,PRO1075,1.0,5,ITA02190709,CHACARA FERREIRA,474545.0,8993759.0,ITAPUÃ DO OESTE,0,PLA 1075,1.0,,,OLERICULTURA,
1075,PRO1076,1.0,5,ITA01190709,CHACARA MENDES,474474.0,8993765.0,ITAPUÃ DO OESTE,0,PLA 1076,1.0,,,OLERICULTURA,
1076,PRO1077,1.0,5,ITA01190711,SITIO AÇAÍ,454760.0,8994192.0,ITAPUÃ DO OESTE,0,PLA 1077,1.0,,,HORTICULTURA,
1077,PRO1078,12.0,8,MDO04190409,CHACARA ALTO ALEGRE,579654.0,8938872.0,MACHADINHO D'OESTE,0,PLA 1078,12.0,ASSOCIAÇÃO,,CAFEICULTURA,BOVINOCULTURA DE LEITE
1078,PRO1079,2.0,4,CUJ03190312,CHACARA BOA ESPERANÇA,497179.0,8906647.0,CUJUBIM,0,PLA 1079,2.0,ASSOCIAÇÃO,,LAVOURA,
1079,PRO1080,5.0,8,MDO01190430,STª LUZIA,600563.0,8970709.0,MACHADINHO D'OESTE,0,PLA 1080,5.0,STTR,,LAVOURA,
1080,PRO1081,17.0,8,MDO01190715,SITIO ESPERANÇA,612738.0,8986452.0,MACHADINHO D'OESTE,0,PLA 1081,17.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,
1081,PRO1082,10.0,8,MDOO1190614,ESTÂNCIA POUSADA DO SOL,609371.0,8952965.0,MACHADINHO D'OESTE,0,PLA 1082,10.0,STTR,,BOVINOCULTURA DE LEITE,
1082,PRO1083,11.0,8,MDO01190413,RONDONIA,592084.0,8956378.0,MACHADINHO D'OESTE,0,PLA 1083,11.0,ASSOCIAÇÃO,,LAVOURA,
1083,PRO1084,10.0,8,MDO01190524,S/N,599829.0,8944769.0,MACHADINHO D'OESTE,0,PLA 1084,10.0,STTR,,LAVOURA,
1084,PRO1085,6.0,10,OPO01190627,DEUS DARÁ,561164.0,8820240.0,OURO PRETO DO OESTE,0,PLA 1085,6.0,STTR,,BOVINOCULTURA DE LEITE,
1085,PRO1086,15.0,14,RLM01190630,CHACARA SAO SEBASTIAO,630709.0,8688595.0,ROLIM DE MOURA,0,PLA 1086,15.0,STTR,,HORTICULTURA,
1086,PRO1087,16.0,6,JAR01190801,SITIO CEU AZUL,581705.0,8853110.0,JARU,0,PLA 1087,16.0,STTR,,BOVINOCULTURA DE CORTE,FRUTICULTURA
1087,PRO1088,17.0,8,MDO01190805,SITIO AYRTON SENNA,593905.0,8942098.0,MACHADINHO D'OESTE,0,PLA 1088,17.0,ASSOCIAÇÃO,,AGROINDUSTRIA,LAVOURA
