,COD_PLA,COD_PRO,Farm,X_UTM,Y_UTM,County,GLEBA,LINHA,KM,LOTE,Num_Visits,ASSOCIAÇÃO / STTR,Main_Activity,Secondary_Activity,Piles,Columns,Tensioners,Wire_rolls,Isolation,Carbonate,APP_Area,RL_Area,Total_Area,Group_RL,CultureI_RL,CultureII_RL,Seedlings_RL,Method_RL,Year_RL,Group_APP,CultureI_APP,CultureII_APP,Seedlings_APP,Method_APP,Year_APP,Concluded_Isolation
1402,PLA 1711,PRO 1356,PANORAMA,601414.0,8713136.0,NOVO HORIZONTE DO OESTE,3,152 NORTE,9,61,0,STTR,BOVINOCULTURA DE CORTE,,80,6,0.0,2.0,,0.45,,,0.0,0,-,-,0,,2020.0,5,J,-,900.0,APP DIV,2020.0,0
1403,PLA 1712,PRO 1357,ALTO ALEGRE,593094.0,8696496.0,NOVO HORIZONTE DO OESTE,10,144 SUL,7,58,0,STTR,BOVINOCULTURA DE CORTE,,65,0,0.0,0.0,,,,,0.0,0,-,-,0,,2020.0,-,-,-,0.0,APP DIV,2020.0,0
1404,PLA 1713,PRO 1358,IRMÃOS FERREIRA,593116.0,8695843.0,NOVO HORIZONTE DO OESTE,10,144 SUL,7.5,64,0,,BOVINOCULTURA DE LEITE,,60,,0.0,1.0,,0.25,,,0.0,0,-,-,0,,2020.0,5,H,-,500.0,APP DIV,2020.0,0
1405,PLA 1714,PRO 1359,PRIMAVERA,593263.0,8695170.0,NOVO HORIZONTE DO OESTE,8,144 SUL,8.5,67,0,,BOVINOCULTURA DE LEITE,BOVINOCULTURA DE CORTE,,,,,,0.3,,,0.0,0,-,-,0,,2020.0,5,H,-,600.0,APP DIV,2020.0,0
1406,PLA 1715,PRO 1360,SITIO AGUAS BOAS,627839.0,8702337.0,ROLIM DE MOURA,18,RO 010 OESTE,5.5,6-D,0,,AGRICULTURA,,,,,,,,,,0.0,-,-,-,0,,2020.0,5,H,-,300.0,APP DIV,2020.0,0
1407,PLA 1716,PRO 1361,SITIO PAIS E FILHOS,465168.0,8953372.0,ITAPUÃ DO OESTE,-,"C110, TRAV. B20",11,-,0,ASSOCIAÇÃO,AGRICULTURA,,,,,,,,,,0.0,1,A,-,1309,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1408,PLA 1716,PRO 1361,SITIO PAIS E FILHOS,465168.0,8953372.0,ITAPUÃ DO OESTE,-,"C110, TRAV. B20",11,-,0,ASSOCIAÇÃO,AGRICULTURA,,,,,,,,,,0.0,1,A,-,1309,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1409,PLA 1717,PRO 1362,SÍTIO CRISTO BOM JESUS,610690.0,8752238.0,PRESIDENTE MÉDICI,AGROVILA 3,4ª LINHA,ASSENTAMENTO CHICO MENDES 1,18,0,STTR,BOVINOCULTURA DE LEITE,FRUTICULTURA,106,6,0.0,3.0,,0.043,,,0.0,-,-,-,,,2020.0,5,H,-,85.0,APP DIV,2020.0,0
1410,PLA 1718,PRO 1363,SITO MARAVILHA,464865.0,8949996.0,ITAPUÃ DO OESTE,-,"C110, TRAV. B20",18,-,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,,,,,,,,,,0.0,1,B,-,643,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1411,PLA 1719,PRO 1364,SÍTIO SANTA CATARINA,610607.0,8753481.0,PRESIDENTE MÉDICI,AGROVILA 3,4ª LINHA,ASSENTAMENTO CHICO MENDES 1,4,0,STTR,BOVINOCULTURA DE LEITE,,52,3,0.0,1.0,,0.45,,,0.0,-,-,-,,,2020.0,1,A,-,1000.0,APP SAF,2020.0,0
1412,PLA 1720,PRO 1365,CHACARA VITORIA,605629.0,8956935.0,MACHADINHO D'OESTE,2,MP 73,,459,0,ASSOCIAÇÃO,LAVOURA,,,,,,,,,,0.0,3,E,B,2700,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1413,PLA 1721,PRO 1366,SITIO ALTO ALEGRE,595160.0,8950994.0,MACHADINHO D'OESTE,2,MP 97,,799,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,,,,,,,,,0.0,1,B,-,1222,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1414,PLA 1722,PRO 1367,SITIO VALE DO TABOCA,449455.0,8989989.0,ITAPUÃ DO OESTE,7,RO 458,10.5,64,0,STTR,AVICULTURA,,,,,,,,,,0.0,2,A,B,1221,RL SAF,2020.0,5,I,-,1110.0,APP DIV,2020.0,0
1415,PLA 1723,PRO 1368,SITIO SAO JOSE,606411.0,8955585.0,MACHADINHO D'OESTE,2,MP 73,,452,0,STTR,BOVINOCULTURA DE CORTE,,,,,,,,,,0.0,-,-,-,0,,2020.0,2,A,B,1722.0,APP SAF,2020.0,0
1416,PLA 1724,PRO 1369,LUZ DO SOL,579966.0,8949952.0,MACHADINHO D'OESTE,3,C 09,,20,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,,,,,,,,,0.0,3,E,B,445,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1417,PLA 1725,PRO 1370,LUZ DO SOL,580089.0,8949954.0,MACHADINHO D'OESTE,3,C 09,,20,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,,,,,,,,,0.0,3,E,A,1717,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1418,PLA 1726,PRO 1371,NOSSA SENHORA APARECIDA,580807.0,8950141.0,MACHADINHO D'OESTE,3,C 09,40,46,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,CAFEICULTURA,,,,,,,,,0.0,1,B,-,2923,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1419,PLA 1727,PRO 1372,,578357.0,8928042.0,MACHADINHO D'OESTE,3,LU 09,,179,0,STTR,BOVINOCULTURA DE LEITE,CAFEICULTURA,,,,,,,,,0.0,3,E,B,6601,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1420,PLA 1728,PRO 1373,SITIO UNIAO,587222.0,8929009.0,MACHADINHO D'OESTE,2,MP 05,,31,0,ASSOCIAÇÃO,BOVINOCULTURA MISTA,,,,20.0,2.0,,0.9,,,0.0,-,-,-,0,,2020.0,1,A,-,1867.0,APP SAF,2020.0,0
1421,PLA 1729,PRO 1374,SITIO BELA VISTA,579357.0,8950201.0,MACHADINHO D'OESTE,3,C 09,,34,0,ASSOCIAÇÃO,CAFEICULTURA,,,,,,,,,,0.0,3,E,B,2000,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1422,PLA 1730,PRO 1375,CHACARA 2 IRMAOS,548524.0,8970982.0,CUJUBIM,,C-A 24,14,67,0,ASSOCIAÇÃO,AGRICULTURA,,,,,,,,,,0.0,1,B,,2420,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
